experiment_id;testpiece_id;machine;test_temperature;Rp01;Rp02;Rm;Rp01_in_Pa;Rp02_in_Pa;Rm_in_Pa;A;A/100;test_date;operator;strain_rate;l_0;Fracture position;reduction of area;reduction/100;valid;file format temperature;idx_mech_start;idx_mech_end;diameter;material_state;ageing duration;ageing temperature;material state name;material state name clear
ABR5RTzl1;22-1;#N/A;20;341;365;428;341000000;365000000;428000000;5.30%;0.00053;2/2/2017;anonymous;1.0E-04;29877;BiM;9.59%;0.000959;True;A;94;5055;5.97;ABR5;0;0;T61;T61
ABR58zl2;22-2;#N/A;80;321;340;407;321000000;340000000;407000000;7%;0.0007;2/2/2017;anonymous;1.0E-04;29877;BiM;9.32%;0.000932;True;A;1294;6601;5.98;ABR5;0;0;T61;T61
ABR516zl3;22-3;#N/A;160;313;324;346;313000000;324000000;346000000;13%;0.0013;2/3/2017;anonymous;1.0E-04;29877;BiM;15.54%;0.001554;True;A;2900;9612;6.01;ABR5;0;0;T61;T61
ABR518zl4;22-4;#N/A;180;288;300;320;288000000;300000000;320000000;11%;0.0011;2/3/2017;anonymous;1.0E-04;29877;BiM;16.23%;0.001623;True;A;2917;9055;6.01;ABR5;0;0;T61;T61
ABR519zl8;22-8;#N/A;190;280;292;307;280000000;292000000;307000000;12%;0.0012;2/28/2017;anonymous;1.0E-04;29877;BiM;#N/A;#WERT!;True;A;5180;13100;6;ABR5;0;0;T61;T61
ABR8RTzl1;43-1;CERT;20;226;246;342;226000000;246000000;342000000;7.90%;0.00079;9/8/2017;anonymous;1.0E-04;29772;BiM;14.14%;0.001414;True;B;1090;-10;6.01;ABR8;15000;190;Alt VII;190 °C, 15000 h
ABR819zl2;43-2;CERT;190;181;196;216;181000000;196000000;216000000;20%;0.002;9/12/2017;anonymous;1.0E-04;29772;BiM;19.68%;0.001968;True;B;69894;-10;6.001;ABR8;15000;190;Alt VII;190 °C, 15000 h
ABR9RTzl1;1-1;CERT;20;222;236;330;222000000;236000000;330000000;8.30%;0.00083;9/8/2017;anonymous;1.0E-04;29772;BiM;18.36%;0.001836;True;B;692;-10;5.994;ABR9;25000;190;Alt IX;190 °C, 25000 h
ABR919zl2;1-2;CERT;190;168;183;210;168000000;183000000;210000000;19.50%;0.00195;9/11/2017;anonymous;1.0E-04;29772;BiM;18.38%;0.001838;True;B;49617;-10;5.999;ABR9;25000;190;Alt IX;190 °C, 25000 h
ABR10RTzl1;197-1;CERT;20;263;280;362;263000000;280000000;362000000;8.20%;0.00082;9/8/2017;anonymous;1.0E-04;29772;BiM;64.29%;0.006429;True;B;870;-10;5.993;ABR10;15000;160;Alt X;160 °C, 15000 h
ABR1016zl2;197-2;CERT;160;230;245;268;230000000;245000000;268000000;17.30%;0.00173;9/12/2017;anonymous;1.0E-04;29772;BiM;56.12%;0.005612;True;B;77010;-10;5.999;ABR10;15000;160;Alt X;160 °C, 15000 h
ABR11RTzl1;3-1;CERT;20;264;279;360;264000000;279000000;360000000;7.70%;0.00077;9/11/2017;anonymous;1.0E-04;29772;BiM;47.47%;0.004747;True;B;590;-10;5.997;ABR11;25000;160;Alt XI;160 °C, 25000 h
ABR1116zl2;3-2;CERT;160;215;233;257;215000000;233000000;257000000;15.70%;0.00157;9/12/2017;anonymous;1.0E-04;29772;BiM;41.19%;0.004119;True;B;84836;-10;5.92;ABR11;25000;160;Alt XI;160 °C, 25000 h
ABR1RTd6;none;;20;267;278;-1;;;;;;;;;;;;;;;;;;ABR1;1000;190;Alt I;190 °C, 1000 h
ABR2RTd3;none;;20;237;250;-1;;;;;;;;;;;;;;;;;;ABR2;8800;190;Alt II;190 °C, 8800 h
ABR3RTd2;none;;20;292;306;-1;;;;;;;;;;;;;;;;;;ABR3;1000;160;Alt III;160 °C, 1000 h
ABR4RTd2;none;;20;273;286;-1;;;;;;;;;;;;;;;;;;ABR4;8800;160;Alt IV;160 °C, 8800 h
ABR7RTd1;none;;20;122;131;-1;;;;;;;;;;;;;;;;;;ABR7;160;350;Alt VII;160 °C, 350 h